PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,PLAYER_HEIGHT,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GP,PTS,REB,AST,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,AST_PCT
1628976,Wendell Carter Jr.,1610612753,ORL,25.0,6-10,82,270,Duke,USA,2018,1,7,61,550,457,124,-0.7,0.083,0.21,0.158,0.539,0.119
1631111,Wendell Moore Jr.,1610612766,CHA,23.0,6-5,77,215,Duke,USA,2022,1,26,32,125,84,37,-9.9,0.055,0.141,0.131,0.55,0.132
1630214,Xavier Tillman,1610612738,BOS,26.0,6-7,79,245,Michigan State,USA,2020,2,35,29,30,38,7,-1.2,0.042,0.144,0.12,0.32,0.047
1642530,Yuki Kawamura,1610612763,MEM,23.0,5-8,68,159,None,Japan,Undrafted,Undrafted,Undrafted,20,24,7,14,-0.8,0.0,0.091,0.187,0.487,0.318
1641879,Yuri Collins,1610612744,GSW,24.0,6-0,72,190,St. Louis,USA,Undrafted,Undrafted,Undrafted,2,2,3,4,-17.0,0.083,0.071,0.068,0.333,0.333
1642274,Yves Missi,1610612740,NOP,20.0,6-11,83,235,Baylor,Cameroon,2024,1,21,68,611,550,88,-12.2,0.122,0.17,0.14,0.571,0.068
1642258,Zaccharie Risacher,1610612737,ATL,19.0,6-8,80,200,None,France,2024,1,1,66,796,240,83,-3.4,0.045,0.1,0.2,0.547,0.069
1628380,Zach Collins,1610612741,CHI,27.0,6-11,83,250,Gonzaga,USA,2017,1,10,55,348,230,90,-1.1,0.094,0.166,0.167,0.608,0.154
1641744,Zach Edey,1610612763,MEM,22.0,7-4,88,305,Purdue,Canada,2024,1,9,58,536,441,54,3.8,0.158,0.184,0.161,0.621,0.059
203897,Zach LaVine,1610612758,SAC,30.0,6-5,77,200,UCLA,USA,2014,1,13,65,1502,287,277,-0.4,0.009,0.11,0.251,0.637,0.18
1630192,Zeke Nnaji,1610612743,DEN,24.0,6-9,81,240,Arizona,USA,2020,1,22,53,175,86,21,0.0,0.055,0.083,0.12,0.581,0.049
1630533,Ziaire Williams,1610612751,BKN,23.0,6-9,81,185,Stanford,USA,2021,1,10,58,592,273,80,-10.6,0.04,0.157,0.18,0.549,0.088
1629627,Zion Williamson,1610612740,NOP,24.0,6-6,78,284,Duke,USA,2019,1,1,30,737,216,159,-1.8,0.08,0.152,0.325,0.6,0.325
1642389,Zyon Pullin,1610612763,MEM,24.0,6-4,76,206,Florida,USA,Undrafted,Undrafted,Undrafted,3,0,0,0,16.7,0.0,0.0,0.167,0.0,0.0
