budget,original_language,runtime,profit_level,Crime,TV Movie,Animation,Musical,Fantasy,Comedy,Documentary,Adventure,Foreign,Family,History,Drama,Action,Music,Romance,Western,Thriller,Horror,War,Science Fiction,Mystery,total_directed
170000000.0,en,126.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,21.0
170000000.0,en,106.0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,7.0
145000000.0,en,112.0,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,9.0
175000000.0,en,123.0,3,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,6.0
175000000.0,en,96.0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.0
178000000.0,en,113.0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,7.0
175000000.0,en,135.0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5.0
175000000.0,en,118.0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,4.0
175000000.0,en,94.0,3,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3.0
175000000.0,en,106.0,3,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,6.0
200000000.0,en,124.0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,6.0
170000000.0,en,127.0,3,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0
180000000.0,en,97.0,3,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1.0
170000000.0,en,130.0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,4.0
27000000.0,en,30.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,3.0
175000000.0,en,119.0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1.0
170000000.0,en,136.0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,4.0
165000000.0,en,93.0,3,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4.0
190000000.0,en,130.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,5.0
165000000.0,en,102.0,3,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2.0
165000000.0,en,108.0,3,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0
165000000.0,en,100.0,2,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,13.0
165000000.0,en,120.0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,8.0
165000000.0,en,98.0,3,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0
200000000.0,en,109.0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,4.0
170000000.0,en,121.0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,4.0
165000000.0,en,169.0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,8.0
160000000.0,en,148.0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,8.0
15000000.0,ja,120.0,3,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1.0
250000000.0,en,169.0,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,9.0
38000000.0,en,106.0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,9.0
150000000.0,en,166.0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,10.0
160000000.0,en,132.0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,4.0
160000000.0,en,137.0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,5.0
150000000.0,en,109.0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,7.0
160000000.0,en,99.0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,7.0
170000000.0,en,113.0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
160000000.0,en,93.0,3,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.5
160000000.0,en,123.0,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0
155000000.0,en,126.0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,2.0
155000000.0,en,113.0,3,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6.0
140000000.0,en,183.0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,12.0
150000000.0,en,144.0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,12.0
155000000.0,en,175.0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,14.0
150000000.0,en,138.0,3,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,3.0
150000000.0,en,157.0,3,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7.0
150000000.0,en,92.0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.0
150000000.0,en,101.0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,5.0
150000000.0,en,115.0,3,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,14.0
150000000.0,en,111.0,3,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0
150000000.0,en,140.0,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,8.0
150000000.0,en,89.0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.5
150000000.0,en,105.0,3,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,11.0
150000000.0,en,107.0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,4.0
150000000.0,en,129.0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,7.0
150000000.0,en,102.0,3,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.5
150000000.0,en,138.0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,7.0
170000000.0,en,112.0,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0
150000000.0,en,120.0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,8.0
150000000.0,en,138.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,13.0
150000000.0,en,115.0,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7.0
150000000.0,en,98.0,3,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0
150000000.0,en,88.0,2,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1.0
150000000.0,en,99.0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
150000000.0,en,113.0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0
150000000.0,en,131.0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,3.0
150000000.0,en,103.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,4.0
150000000.0,en,91.0,2,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0
150000000.0,en,91.0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0
150000000.0,en,103.0,3,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,9.0
150000000.0,en,126.0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,4.0
150000000.0,en,131.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,8.0
150000000.0,en,88.0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0
149000000.0,en,85.0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.5
150000000.0,en,111.0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6.0
145000000.0,en,92.0,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6.0
175000000.0,en,163.0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,7.0
145000000.0,en,93.0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.333333333333333
140000000.0,en,133.0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,5.0
144000000.0,en,116.0,2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.0
140000000.0,en,151.0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,12.0
140000000.0,en,88.0,3,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,7.0
70000000.0,en,115.0,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,13.0
145000000.0,en,95.0,3,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1.5
145000000.0,en,133.0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,5.0
145000000.0,en,97.0,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0
100000000.0,en,90.0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
140000000.0,en,154.0,3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,7.0
140000000.0,en,150.0,2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,16.0
150000000.0,en,127.0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,4.0
139000000.0,en,121.0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11.0
145000000.0,en,102.0,3,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,3.0
140000000.0,en,127.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
135000000.0,en,121.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.0
130000000.0,en,163.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,7.0
140000000.0,en,127.0,3,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,11.0
137000000.0,en,138.0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,8.0
130000000.0,en,110.0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,5.0
130000000.0,en,124.0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,3.0
137000000.0,en,106.0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1.0
140000000.0,en,124.0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,4.0
135000000.0,en,128.0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,6.0
150000000.0,en,138.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
120000000.0,en,115.0,3,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,5.0
130000000.0,en,100.0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.0
150000000.0,en,114.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,6.0
140000000.0,en,120.0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,27.0
135000000.0,en,156.0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,6.0
135000000.0,en,96.0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0
135000000.0,en,107.0,2,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,7.0
132000000.0,en,92.0,3,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.5
70000000.0,en,115.0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,7.0
130000000.0,en,90.0,3,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.5
130000000.0,en,117.0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,4.0
130000000.0,en,146.0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,5.0
135000000.0,en,94.0,3,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4.0
132000000.0,en,116.0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,27.0
130000000.0,en,147.0,3,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,12.0
130000000.0,en,90.0,3,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2.0
110000000.0,en,100.0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,9.0
125000000.0,en,139.0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6.0
130000000.0,en,107.0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,27.0
130000000.0,en,141.0,3,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5.0
130000000.0,en,165.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.0
